timestamp,latencia_ms,cpu_percent,ram_mb
2025-07-29 21:41:51,1002,54.5,627.9
2025-07-29 21:41:52,556,69.6,623.9
2025-07-29 21:41:52,513,85.8,640.6
2025-07-29 21:41:53,526,85.5,630.7
2025-07-29 21:41:54,511,82.2,644.8
2025-07-29 21:41:54,502,86.7,632.6
2025-07-29 21:41:55,517,85.6,636.3
2025-07-29 21:41:55,514,85.2,632.6
2025-07-29 21:41:56,511,84.0,630.6
2025-07-29 21:41:56,503,82.9,630.7
2025-07-29 21:41:57,509,82.6,640.2
2025-07-29 21:41:57,433,87.3,629.3
2025-07-29 21:41:58,589,82.7,629.9
2025-07-29 21:41:58,553,84.8,631.1
2025-07-29 21:41:59,480,86.0,630.8
2025-07-29 21:42:00,569,85.0,631.9
2025-07-29 21:42:00,644,87.8,636.6
2025-07-29 21:42:01,560,83.3,655.3
2025-07-29 21:42:01,606,84.6,648.6
2025-07-29 21:42:02,606,88.0,655.5
2025-07-29 21:42:03,558,86.0,650.9
2025-07-29 21:42:03,548,85.8,653.9
2025-07-29 21:42:04,540,86.2,637.6
2025-07-29 21:42:05,655,87.3,663.7
2025-07-29 21:42:05,473,86.2,656.0
2025-07-29 21:42:06,559,84.7,642.4
2025-07-29 21:42:06,650,88.8,666.4
2025-07-29 21:42:07,612,84.7,646.3
2025-07-29 21:42:08,647,88.9,658.8
2025-07-29 21:42:08,572,84.4,656.8
2025-07-29 21:42:09,629,85.3,669.5
2025-07-29 21:42:10,575,86.2,658.0
2025-07-29 21:42:10,630,87.9,672.8
2025-07-29 21:42:11,616,85.7,656.0
2025-07-29 21:42:12,636,87.3,667.0
2025-07-29 21:42:12,566,87.8,664.0
2025-07-29 21:42:13,564,88.3,675.5
2025-07-29 21:42:13,562,86.3,667.6
2025-07-29 21:42:14,566,87.7,666.2
2025-07-29 21:42:15,624,86.6,653.9
2025-07-29 21:42:15,649,89.3,675.9
2025-07-29 21:42:16,709,88.9,665.7
