method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
BBoxes-YOLOv4tiny,0,,1119.14,0.89,0.0,299.3,1
BBoxes-YOLOv4tiny,1,,448.91,2.23,338.4,306.6,1
BBoxes-YOLOv4tiny,2,,448.12,2.23,352.3,308.3,1
BBoxes-YOLOv4tiny,3,,445.23,2.25,350.0,308.3,1
BBoxes-YOLOv4tiny,4,,451.29,2.22,349.6,308.3,1
BBoxes-YOLOv4tiny,5,,445.94,2.24,351.7,309.2,1
BBoxes-YOLOv4tiny,6,,444.08,2.25,351.1,309.2,1
BBoxes-YOLOv4tiny,7,,443.89,2.25,346.7,309.2,1
BBoxes-YOLOv4tiny,8,,442.61,2.26,350.2,309.2,1
BBoxes-YOLOv4tiny,9,,443.98,2.25,351.5,309.2,0
BBoxes-YOLOv4tiny,10,,442.27,2.26,350.1,309.2,1
BBoxes-YOLOv4tiny,11,,446.79,2.24,351.1,309.2,1
BBoxes-YOLOv4tiny,12,,442.23,2.26,350.3,309.2,1
BBoxes-YOLOv4tiny,13,,444.64,2.25,352.6,309.2,1
BBoxes-YOLOv4tiny,14,,445.6,2.24,349.9,309.2,1
BBoxes-YOLOv4tiny,15,,447.41,2.24,348.3,309.2,1
BBoxes-YOLOv4tiny,16,,430.52,2.32,352.7,309.2,1
BBoxes-YOLOv4tiny,17,,431.75,2.32,351.6,309.2,1
BBoxes-YOLOv4tiny,18,,437.67,2.28,351.6,309.2,0
BBoxes-YOLOv4tiny,19,,438.93,2.28,350.4,309.2,0
BBoxes-YOLOv4tiny,20,,445.33,2.25,351.7,309.2,0
BBoxes-YOLOv4tiny,21,,444.05,2.25,348.9,309.2,0
BBoxes-YOLOv4tiny,22,,446.58,2.24,348.8,309.2,0
BBoxes-YOLOv4tiny,23,,441.68,2.26,350.6,309.2,0
BBoxes-YOLOv4tiny,24,,444.16,2.25,351.0,309.2,0
BBoxes-YOLOv4tiny,25,,443.52,2.25,351.5,309.2,0
BBoxes-YOLOv4tiny,26,,446.82,2.24,351.1,309.2,0
BBoxes-YOLOv4tiny,27,,446.49,2.24,351.3,309.2,0
BBoxes-YOLOv4tiny,28,,448.85,2.23,349.7,309.2,0
