method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
BBoxes-YOLOv4tiny,7,,443.89,2.25,346.7,309.2,1
BBoxes-YOLOv4tiny,8,,442.61,2.26,350.2,309.2,1
BBoxes-YOLOv4tiny,11,,446.79,2.24,351.1,309.2,1
BBoxes-YOLOv4tiny,18,,437.67,2.28,351.6,309.2,0
BBoxes-YOLOv4tiny,19,,438.93,2.28,350.4,309.2,0
BBoxes-YOLOv4tiny,29,,442.08,2.26,350.1,309.2,0
BBoxes-YOLOv4tiny,32,,446.35,2.24,347.3,309.2,0
BBoxes-YOLOv4tiny,33,,451.99,2.21,351.3,309.2,0
BBoxes-YOLOv4tiny,34,,443.4,2.26,351.4,309.2,0
BBoxes-YOLOv4tiny,36,,448.46,2.23,350.1,309.2,0
BBoxes-YOLOv4tiny,37,,445.19,2.25,350.5,309.2,0
BBoxes-YOLOv4tiny,39,,442.15,2.26,350.4,309.2,0
BBoxes-YOLOv4tiny,49,,446.85,2.24,350.8,309.2,1
BBoxes-YOLOv4tiny,50,,443.36,2.26,351.2,309.2,1
BBoxes-YOLOv4tiny,51,,439.9,2.27,349.6,309.2,1
BBoxes-YOLOv4tiny,52,,445.74,2.24,349.7,309.2,1
BBoxes-YOLOv4tiny,54,,444.31,2.25,350.7,309.2,1
BBoxes-YOLOv4tiny,57,,444.71,2.25,350.6,309.2,1
BBoxes-YOLOv4tiny,61,,448.01,2.23,352.2,309.2,0
BBoxes-YOLOv4tiny,62,,442.57,2.26,349.9,309.2,1
BBoxes-YOLOv4tiny,64,,448.0,2.23,352.4,309.2,1
BBoxes-YOLOv4tiny,65,,445.36,2.25,349.9,309.2,1
BBoxes-YOLOv4tiny,66,,444.1,2.25,351.1,309.2,0
BBoxes-YOLOv4tiny,67,,448.81,2.23,351.8,309.2,1
