method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
FlowerAI,7,7.03,196.46365422396855,5.09,369.5,133.16,1
FlowerAI,8,8.03,201.6129032258065,4.96,363.7,133.16,1
FlowerAI,11,11.04,210.97046413502107,4.74,369.7,133.16,1
FlowerAI,18,18.08,227.27272727272725,4.4,368.5,133.16,1
FlowerAI,19,19.08,196.07843137254903,5.1,370.8,133.16,1
FlowerAI,29,29.18,225.2252252252252,4.44,349.1,133.16,1
FlowerAI,32,32.19,201.2072434607646,4.97,364.8,132.81,1
FlowerAI,33,33.2,209.643605870021,4.77,361.2,132.81,1
FlowerAI,34,34.2,218.34061135371175,4.58,356.3,132.81,1
FlowerAI,36,36.21,194.9317738791423,5.13,377.8,132.81,1
FlowerAI,37,37.22,194.9317738791423,5.13,370.6,132.81,1
FlowerAI,39,39.25,207.0393374741201,4.83,362.0,132.81,1
FlowerAI,49,49.36,222.22222222222223,4.5,359.4,132.81,1
FlowerAI,50,50.36,201.2072434607646,4.97,367.1,132.81,1
FlowerAI,51,51.36,201.2072434607646,4.97,375.7,132.81,1
FlowerAI,52,52.4,194.17475728155335,5.15,366.7,132.81,1
FlowerAI,54,54.41,207.90020790020796,4.81,360.6,132.81,1
FlowerAI,57,57.42,204.91803278688525,4.88,363.8,132.81,1
FlowerAI,61,61.45,202.020202020202,4.95,368.5,132.81,1
FlowerAI,62,62.45,208.76826722338205,4.79,356.5,132.81,1
FlowerAI,64,64.45,223.7136465324385,4.47,354.2,132.74,1
FlowerAI,65,65.45,212.31422505307856,4.71,364.5,132.74,1
FlowerAI,66,66.45,212.31422505307856,4.71,375.6,132.74,1
FlowerAI,67,67.46,197.2386587771203,5.07,372.6,132.74,2
