method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
KeyPoints-ResNet50,0,,29078.9,0.0,0.0,840.79296875,2
KeyPoints-ResNet50,1,,29078.9,0.0,0.0,840.79296875,2
KeyPoints-ResNet50,2,,30614.0,0.9,0.0,813.92578125,1
KeyPoints-ResNet50,3,,30614.0,0.9,0.0,813.92578125,1
KeyPoints-ResNet50,4,,28627.3,0.48,0.0,876.140625,0
KeyPoints-ResNet50,5,,28627.3,0.48,0.0,876.140625,0
KeyPoints-ResNet50,6,,28313.4,0.96,0.0,876.19921875,0
KeyPoints-ResNet50,7,,28313.4,0.96,0.0,876.19921875,0
KeyPoints-ResNet50,8,,28408.3,0.96,0.0,876.2109375,0
KeyPoints-ResNet50,9,,28408.3,0.96,0.0,876.2109375,0
KeyPoints-ResNet50,10,,28304.2,0.5,0.0,827.28515625,0
KeyPoints-ResNet50,11,,28304.2,0.5,0.0,827.28515625,0
