timestamp_iso,elapsed_s,cpu_percent,rss_mb,fit_calls,eval_calls,cam_fps,cam_det
2025-08-24T16:41:29,0.0,373.6,89.37,0,0,0.0,0
2025-08-24T16:41:30,1.0,84.6,112.71,16,16,0.0,0
2025-08-24T16:41:31,2.01,264.8,132.35,37,36,2.49,0
2025-08-24T16:41:32,3.01,348.3,132.54,57,57,4.52,0
2025-08-24T16:41:33,4.02,356.3,133.16,79,79,4.52,0
2025-08-24T16:41:34,5.02,363.6,133.16,91,91,4.51,0
2025-08-24T16:41:35,6.03,366.4,133.16,99,99,4.91,0
2025-08-24T16:41:36,7.03,369.5,133.16,111,111,5.09,1
2025-08-24T16:41:37,8.03,363.7,133.16,127,126,4.96,1
2025-08-24T16:41:38,9.03,359.0,133.16,145,144,4.78,0
2025-08-24T16:41:39,10.04,361.2,133.16,163,162,4.73,0
2025-08-24T16:41:40,11.04,369.7,133.16,169,169,4.74,1
2025-08-24T16:41:41,12.05,374.8,133.16,178,178,5.16,0
2025-08-24T16:41:42,13.05,363.7,133.16,192,191,5.03,0
2025-08-24T16:41:43,14.05,364.3,133.16,205,205,4.9,0
2025-08-24T16:41:44,15.05,357.2,133.16,222,221,4.61,0
2025-08-24T16:41:45,16.07,352.5,133.16,243,242,4.49,0
2025-08-24T16:41:46,17.07,356.5,133.16,265,265,4.49,0
2025-08-24T16:41:47,18.08,368.5,133.16,273,272,4.4,1
2025-08-24T16:41:48,19.08,370.8,133.16,283,282,5.1,1
2025-08-24T16:41:49,20.08,362.1,133.16,293,293,4.94,0
2025-08-24T16:41:50,21.09,355.1,133.16,313,313,4.75,0
2025-08-24T16:41:51,22.09,357.9,133.16,334,333,4.5,0
2025-08-24T16:41:52,23.1,355.5,133.16,353,352,4.46,0
2025-08-24T16:41:53,24.1,377.9,133.16,359,359,5.12,0
2025-08-24T16:41:54,25.1,371.0,133.16,367,366,5.12,0
2025-08-24T16:41:55,26.11,371.7,133.16,377,377,5.07,0
2025-08-24T16:41:56,27.12,367.1,133.16,390,389,5.0,0
2025-08-24T16:41:57,28.12,357.5,133.16,405,404,4.83,0
2025-08-24T16:41:59,29.18,349.1,133.16,419,419,4.44,1
2025-08-24T16:42:00,30.19,351.9,132.69,439,438,4.56,0
2025-08-24T16:42:01,31.19,372.7,132.81,445,445,4.86,0
2025-08-24T16:42:02,32.19,364.8,132.81,456,455,4.97,1
2025-08-24T16:42:03,33.2,361.2,132.81,471,471,4.77,1
2025-08-24T16:42:04,34.2,356.3,132.81,490,490,4.58,1
2025-08-24T16:42:05,35.21,360.0,132.81,502,502,4.59,0
2025-08-24T16:42:06,36.21,377.8,132.81,509,509,5.13,1
2025-08-24T16:42:07,37.22,370.6,132.81,520,520,5.13,1
2025-08-24T16:42:08,38.22,366.7,132.81,533,533,4.99,0
2025-08-24T16:42:09,39.25,362.0,132.81,550,550,4.83,1
2025-08-24T16:42:10,40.26,351.2,132.81,571,570,4.68,0
2025-08-24T16:42:11,41.26,366.2,132.81,580,580,4.47,0
2025-08-24T16:42:12,42.26,370.7,132.81,588,588,4.97,0
2025-08-24T16:42:13,43.26,364.6,132.81,602,602,4.99,0
2025-08-24T16:42:14,44.28,357.6,132.81,620,620,4.64,0
2025-08-24T16:42:15,45.29,361.5,132.81,635,635,4.63,0
2025-08-24T16:42:16,46.33,374.0,132.81,643,642,4.96,0
2025-08-24T16:42:17,47.34,368.3,132.81,655,655,5.01,0
2025-08-24T16:42:18,48.34,358.9,132.81,671,670,4.7,0
2025-08-24T16:42:19,49.36,359.4,132.81,691,690,4.5,1
2025-08-24T16:42:20,50.36,367.1,132.81,697,697,4.97,1
2025-08-24T16:42:21,51.36,375.7,132.81,705,704,4.97,1
2025-08-24T16:42:22,52.4,366.7,132.81,719,719,5.15,1
2025-08-24T16:42:23,53.4,365.7,132.81,732,731,4.84,0
2025-08-24T16:42:24,54.41,360.6,132.81,746,745,4.81,1
2025-08-24T16:42:25,55.41,364.5,132.81,754,753,4.69,0
2025-08-24T16:42:26,56.41,369.6,132.81,765,764,5.03,0
2025-08-24T16:42:27,57.42,363.8,132.81,779,779,4.88,1
2025-08-24T16:42:28,58.42,358.5,132.81,792,792,4.76,0
2025-08-24T16:42:29,59.42,359.0,132.81,809,808,4.59,0
2025-08-24T16:42:30,60.42,372.7,132.81,815,814,4.93,0
2025-08-24T16:42:31,61.45,368.5,132.81,828,827,4.95,1
2025-08-24T16:42:32,62.45,356.5,132.81,844,843,4.79,1
2025-08-24T16:42:33,63.45,357.1,132.81,861,860,4.4,0
2025-08-24T16:42:34,64.45,354.2,132.74,882,881,4.47,1
2025-08-24T16:42:35,65.45,364.5,132.74,891,890,4.71,1
2025-08-24T16:42:36,66.45,375.6,132.74,897,897,4.71,1
2025-08-24T16:42:37,67.46,372.6,132.74,905,904,5.07,2
2025-08-24T16:42:38,68.46,363.6,132.74,917,917,5.0,0
2025-08-24T16:42:39,69.46,358.9,132.74,934,934,4.61,0
2025-08-24T16:42:40,70.46,348.4,132.74,955,954,4.48,0
2025-08-24T16:42:41,71.47,367.4,132.74,967,967,4.31,0
2025-08-24T16:42:42,72.47,368.5,132.74,978,978,4.93,0
2025-08-24T16:42:43,73.47,357.6,132.74,996,995,4.44,0
